ID_RRES_v5,Module
FGRAMPH1_01T00001,F01
FGRAMPH1_01T00009,F03
FGRAMPH1_01T00017,F04
FGRAMPH1_01T00019,F03
FGRAMPH1_01T00025,F04
FGRAMPH1_01T00027,F01
FGRAMPH1_01T00029,F06
FGRAMPH1_01T00031,F04
FGRAMPH1_01T00041,F03
FGRAMPH1_01T00047,F10
FGRAMPH1_01T00049,F14
FGRAMPH1_01T00051,F03
FGRAMPH1_01T00053,F12
FGRAMPH1_01T00055,F01
FGRAMPH1_01T00059,F08
FGRAMPH1_01T00065,F07
FGRAMPH1_01T00067,F04
FGRAMPH1_01T00071,F01
FGRAMPH1_01T00075,F04
FGRAMPH1_01T00077,F06
FGRAMPH1_01T00081,F04
FGRAMPH1_01T00085,F02
FGRAMPH1_01T00087,F04
FGRAMPH1_01T00091,F04
FGRAMPH1_01T00093,F03
FGRAMPH1_01T00095,F01
FGRAMPH1_01T00097,F02
FGRAMPH1_01T00099,F03
FGRAMPH1_01T00105,F12
FGRAMPH1_01T00117,F01
FGRAMPH1_01T00119,F04
FGRAMPH1_01T00123,F03
FGRAMPH1_01T00127,F01
FGRAMPH1_01T00129,F01
FGRAMPH1_01T00135,F01
FGRAMPH1_01T00137,F04
FGRAMPH1_01T00143,F01
FGRAMPH1_01T00145,F01
FGRAMPH1_01T00147,F01
FGRAMPH1_01T00149,F01
FGRAMPH1_01T00151,F01
FGRAMPH1_01T00153,F01
FGRAMPH1_01T00155,F11
FGRAMPH1_01T00157,F11
FGRAMPH1_01T00161,F04
FGRAMPH1_01T00163,F04
FGRAMPH1_01T00167,F01
FGRAMPH1_01T00169,F04
FGRAMPH1_01T00183,F16
FGRAMPH1_01T00187,F03
FGRAMPH1_01T00193,F03
FGRAMPH1_01T00195,F10
FGRAMPH1_01T00197,F10
FGRAMPH1_01T00199,F10
FGRAMPH1_01T00201,F10
FGRAMPH1_01T00203,F03
FGRAMPH1_01T00205,F03
FGRAMPH1_01T00209,F06
FGRAMPH1_01T00211,F03
FGRAMPH1_01T00213,F08
FGRAMPH1_01T00215,F04
FGRAMPH1_01T00217,F06
FGRAMPH1_01T00219,F02
FGRAMPH1_01T00221,F04
FGRAMPH1_01T00223,F05
FGRAMPH1_01T00235,F18
FGRAMPH1_01T00243,F06
FGRAMPH1_01T00245,F02
FGRAMPH1_01T00247,F04
FGRAMPH1_01T00273,F04
FGRAMPH1_01T00279,F01
FGRAMPH1_01T00281,F10
FGRAMPH1_01T00283,F01
FGRAMPH1_01T00291,F02
FGRAMPH1_01T00293,F03
FGRAMPH1_01T00295,F01
FGRAMPH1_01T00309,F01
FGRAMPH1_01T00311,F03
FGRAMPH1_01T00313,F03
FGRAMPH1_01T00315,F03
FGRAMPH1_01T00321,F10
FGRAMPH1_01T00323,F03
FGRAMPH1_01T00327,F04
FGRAMPH1_01T00329,F04
FGRAMPH1_01T00331,F03
FGRAMPH1_01T00339,F01
FGRAMPH1_01T00341,F04
FGRAMPH1_01T00343,F04
FGRAMPH1_01T00345,F06
FGRAMPH1_01T00347,F01
FGRAMPH1_01T00349,F01
FGRAMPH1_01T00351,F04
FGRAMPH1_01T00359,F03
FGRAMPH1_01T00373,F08
FGRAMPH1_01T00375,F04
FGRAMPH1_01T00377,F06
FGRAMPH1_01T00379,F01
FGRAMPH1_01T00391,F04
FGRAMPH1_01T00399,F03
FGRAMPH1_01T00405,F08
FGRAMPH1_01T00413,F07
FGRAMPH1_01T00415,F01
FGRAMPH1_01T00431,F04
FGRAMPH1_01T00437,F03
FGRAMPH1_01T00439,F06
FGRAMPH1_01T00441,F06
FGRAMPH1_01T00443,F03
FGRAMPH1_01T00445,F06
FGRAMPH1_01T00447,F04
FGRAMPH1_01T00449,F04
FGRAMPH1_01T00455,F09
FGRAMPH1_01T00457,F08
FGRAMPH1_01T00459,F04
FGRAMPH1_01T00461,F09
FGRAMPH1_01T00463,F11
FGRAMPH1_01T00465,F01
FGRAMPH1_01T00467,F06
FGRAMPH1_01T00469,F04
FGRAMPH1_01T00471,F01
FGRAMPH1_01T00473,F09
FGRAMPH1_01T00475,F01
FGRAMPH1_01T00477,F11
FGRAMPH1_01T00479,F02
FGRAMPH1_01T00481,F01
FGRAMPH1_01T00483,F05
FGRAMPH1_01T00485,F06
FGRAMPH1_01T00487,F03
FGRAMPH1_01T00491,F01
FGRAMPH1_01T00495,F09
FGRAMPH1_01T00499,F02
FGRAMPH1_01T00501,F09
FGRAMPH1_01T00503,F11
FGRAMPH1_01T00505,F08
FGRAMPH1_01T00507,F10
FGRAMPH1_01T00509,F01
FGRAMPH1_01T00511,F02
FGRAMPH1_01T00513,F05
FGRAMPH1_01T00515,F02
FGRAMPH1_01T00517,F13
FGRAMPH1_01T00521,F02
FGRAMPH1_01T00525,F04
FGRAMPH1_01T00527,F01
FGRAMPH1_01T00529,F17
FGRAMPH1_01T00531,F01
FGRAMPH1_01T00533,F03
FGRAMPH1_01T00535,F06
FGRAMPH1_01T00537,F08
FGRAMPH1_01T00539,F12
FGRAMPH1_01T00541,F09
FGRAMPH1_01T00543,F01
FGRAMPH1_01T00545,F01
FGRAMPH1_01T00549,F04
FGRAMPH1_01T00551,F04
FGRAMPH1_01T00555,F03
FGRAMPH1_01T00559,F01
FGRAMPH1_01T00561,F04
FGRAMPH1_01T00567,F11
FGRAMPH1_01T00577,F04
FGRAMPH1_01T00579,F03
FGRAMPH1_01T00583,F02
FGRAMPH1_01T00585,F04
FGRAMPH1_01T00587,F14
FGRAMPH1_01T00589,F06
FGRAMPH1_01T00591,F10
FGRAMPH1_01T00599,F03
FGRAMPH1_01T00601,F03
FGRAMPH1_01T00603,F03
FGRAMPH1_01T00605,F04
FGRAMPH1_01T00609,F04
FGRAMPH1_01T00611,F02
FGRAMPH1_01T00619,F10
FGRAMPH1_01T00621,F06
FGRAMPH1_01T00627,F01
FGRAMPH1_01T00631,F01
FGRAMPH1_01T00633,F12
FGRAMPH1_01T00635,F04
FGRAMPH1_01T00637,F08
FGRAMPH1_01T00643,F03
FGRAMPH1_01T00645,F01
FGRAMPH1_01T00647,F01
FGRAMPH1_01T00655,F03
FGRAMPH1_01T00657,F07
FGRAMPH1_01T00659,F03
FGRAMPH1_01T00667,F01
FGRAMPH1_01T00669,F04
FGRAMPH1_01T00671,F16
FGRAMPH1_01T00675,F06
FGRAMPH1_01T00677,F01
FGRAMPH1_01T00693,F02
FGRAMPH1_01T00695,F01
FGRAMPH1_01T00697,F01
FGRAMPH1_01T00699,F04
FGRAMPH1_01T00701,F02
FGRAMPH1_01T00703,F04
FGRAMPH1_01T00705,F02
FGRAMPH1_01T00707,F08
FGRAMPH1_01T00709,F02
FGRAMPH1_01T00711,F03
FGRAMPH1_01T00713,F03
FGRAMPH1_01T00715,F01
FGRAMPH1_01T00717,F04
FGRAMPH1_01T00719,F01
FGRAMPH1_01T00721,F01
FGRAMPH1_01T00723,F03
FGRAMPH1_01T00729,F07
FGRAMPH1_01T00731,F04
FGRAMPH1_01T00739,F03
FGRAMPH1_01T00741,F02
FGRAMPH1_01T00743,F09
FGRAMPH1_01T00745,F06
FGRAMPH1_01T00747,F04
FGRAMPH1_01T00749,F01
FGRAMPH1_01T00751,F06
FGRAMPH1_01T00753,F01
FGRAMPH1_01T00755,F09
FGRAMPH1_01T00759,F04
FGRAMPH1_01T00761,F02
FGRAMPH1_01T00763,F02
FGRAMPH1_01T00765,F01
FGRAMPH1_01T00769,F08
FGRAMPH1_01T00771,F07
FGRAMPH1_01T00773,F01
FGRAMPH1_01T00775,F05
FGRAMPH1_01T00777,F02
FGRAMPH1_01T00779,F08
FGRAMPH1_01T00781,F10
FGRAMPH1_01T00785,F07
FGRAMPH1_01T00787,F01
FGRAMPH1_01T00789,F01
FGRAMPH1_01T00791,F03
FGRAMPH1_01T00793,F02
FGRAMPH1_01T00795,F02
FGRAMPH1_01T00797,F09
FGRAMPH1_01T00799,F03
FGRAMPH1_01T00801,F05
FGRAMPH1_01T00803,F12
FGRAMPH1_01T00805,F01
FGRAMPH1_01T00807,F02
FGRAMPH1_01T00809,F06
FGRAMPH1_01T00811,F09
FGRAMPH1_01T00813,F06
FGRAMPH1_01T00815,F07
FGRAMPH1_01T00817,F11
FGRAMPH1_01T00821,F02
FGRAMPH1_01T00819,F01
FGRAMPH1_01T00823,F03
FGRAMPH1_01T00825,F03
FGRAMPH1_01T00827,F03
FGRAMPH1_01T00829,F03
FGRAMPH1_01T00833,F12
FGRAMPH1_01T00839,F02
FGRAMPH1_01T00841,F12
FGRAMPH1_01T00843,F18
FGRAMPH1_01T00847,F07
FGRAMPH1_01T00849,F05
FGRAMPH1_01T00853,F02
FGRAMPH1_01T00855,F02
FGRAMPH1_01T00857,F03
FGRAMPH1_01T00861,F16
FGRAMPH1_01T00863,F08
FGRAMPH1_01T00865,F02
FGRAMPH1_01T00867,F02
FGRAMPH1_01T00869,F01
FGRAMPH1_01T00871,F01
FGRAMPH1_01T00873,F05
FGRAMPH1_01T00875,F09
FGRAMPH1_01T00877,F01
FGRAMPH1_01T00879,F02
FGRAMPH1_01T00881,F17
FGRAMPH1_01T00883,F01
FGRAMPH1_01T00885,F01
FGRAMPH1_01T00893,F02
FGRAMPH1_01T00895,F01
FGRAMPH1_01T00899,F01
FGRAMPH1_01T00901,F04
FGRAMPH1_01T00903,F04
FGRAMPH1_01T00909,F01
FGRAMPH1_01T00911,F02
FGRAMPH1_01T00913,F04
FGRAMPH1_01T00915,F01
FGRAMPH1_01T00919,F10
FGRAMPH1_01T00921,F01
FGRAMPH1_01T00925,F02
FGRAMPH1_01T00927,F05
FGRAMPH1_01T00931,F01
FGRAMPH1_01T00933,F03
FGRAMPH1_01T00935,F03
FGRAMPH1_01T00939,F01
FGRAMPH1_01T00941,F08
FGRAMPH1_01T00943,F01
FGRAMPH1_01T00945,F01
FGRAMPH1_01T00949,F10
FGRAMPH1_01T00951,F17
FGRAMPH1_01T00953,F01
FGRAMPH1_01T00955,F01
FGRAMPH1_01T00957,F02
FGRAMPH1_01T00959,F11
FGRAMPH1_01T00961,F01
FGRAMPH1_01T00963,F02
FGRAMPH1_01T00965,F01
FGRAMPH1_01T00967,F05
FGRAMPH1_01T00969,F07
FGRAMPH1_01T00971,F02
FGRAMPH1_01T00977,F16
FGRAMPH1_01T00979,F01
FGRAMPH1_01T00981,F01
FGRAMPH1_01T00983,F01
FGRAMPH1_01T00985,F02
FGRAMPH1_01T00987,F05
FGRAMPH1_01T00989,F06
FGRAMPH1_01T00991,F02
FGRAMPH1_01T00993,F02
FGRAMPH1_01T00995,F02
FGRAMPH1_01T00997,F01
FGRAMPH1_01T00999,F02
FGRAMPH1_01T01003,F07
FGRAMPH1_01T01005,F03
FGRAMPH1_01T01007,F03
FGRAMPH1_01T01009,F01
FGRAMPH1_01T01011,F01
FGRAMPH1_01T01013,F08
FGRAMPH1_01T01015,F17
FGRAMPH1_01T01017,F04
FGRAMPH1_01T01019,F02
FGRAMPH1_01T01023,F11
FGRAMPH1_01T01025,F06
FGRAMPH1_01T01029,F15
FGRAMPH1_01T01033,F04
FGRAMPH1_01T01035,F09
FGRAMPH1_01T01037,F05
FGRAMPH1_01T01039,F02
FGRAMPH1_01T01041,F09
FGRAMPH1_01T01043,F15
FGRAMPH1_01T01045,F01
FGRAMPH1_01T01047,F01
FGRAMPH1_01T01049,F03
FGRAMPH1_01T01051,F01
FGRAMPH1_01T01055,F02
FGRAMPH1_01T01057,F02
FGRAMPH1_01T01059,F09
FGRAMPH1_01T01063,F01
FGRAMPH1_01T01069,F05
FGRAMPH1_01T01071,F02
FGRAMPH1_01T01073,F02
FGRAMPH1_01T01081,F02
FGRAMPH1_01T01083,F12
FGRAMPH1_01T01085,F02
FGRAMPH1_01T01087,F06
FGRAMPH1_01T01089,F02
FGRAMPH1_01T01091,F01
FGRAMPH1_01T01095,F08
FGRAMPH1_01T01101,F01
FGRAMPH1_01T01103,F13
FGRAMPH1_01T01105,F10
FGRAMPH1_01T01107,F01
FGRAMPH1_01T01111,F06
FGRAMPH1_01T01113,F02
FGRAMPH1_01T01115,F01
FGRAMPH1_01T01117,F01
FGRAMPH1_01T01125,F02
FGRAMPH1_01T01127,F07
FGRAMPH1_01T01131,F02
FGRAMPH1_01T01133,F09
FGRAMPH1_01T01135,F09
FGRAMPH1_01T01139,F11
FGRAMPH1_01T01141,F07
FGRAMPH1_01T01143,F06
FGRAMPH1_01T01147,F02
FGRAMPH1_01T01149,F01
FGRAMPH1_01T01151,F05
FGRAMPH1_01T01153,F09
FGRAMPH1_01T01157,F01
FGRAMPH1_01T01159,F08
FGRAMPH1_01T01161,F02
FGRAMPH1_01T01163,F02
FGRAMPH1_01T01165,F01
FGRAMPH1_01T01169,F02
FGRAMPH1_01T01173,F01
FGRAMPH1_01T01175,F02
FGRAMPH1_01T01177,F04
FGRAMPH1_01T01179,F01
FGRAMPH1_01T01181,F15
FGRAMPH1_01T01183,F01
FGRAMPH1_01T01185,F11
