ID_RefSeq_v2.1,ID_RefSeq_v1.1,Module.Assignment
TraesCS1A03G0004300.1,TraesCS1A02G002000.1,W01
TraesCS1A03G0004400.1,TraesCS1A02G002100.1,W01
TraesCS1A03G0004900.1,TraesCS1A02G002300.1,W01
TraesCS1A03G0005600.1,TraesCS1A02G002700.1,W01
TraesCS1A03G0009200.1,TraesCS1A02G003000.1,W01
TraesCS1A03G0014800.1,TraesCS1A02G005100.1,W01
TraesCS1A03G0014900.1,TraesCS1A02G005200.1,W01
TraesCS1A03G0016200.1,TraesCS1A02G005700.1,W01
TraesCS1A03G0016300.2,TraesCS1A02G005800.2,W01
TraesCS1A03G0018400.1,TraesCS1A02G006800.1,W01
TraesCS1A03G0020600.1,TraesCS1A02G007500.1,W01
TraesCS1A03G0020900.1,TraesCS1A02G007800.1,W01
TraesCS1A03G0021200.1,TraesCS1A02G007900.1,W01
TraesCS1A03G0024600.1,TraesCS1A02G009100.1,W01
TraesCS1A03G0024800.1,TraesCS1A02G009300.1,W01
TraesCS1A03G0027800.1,TraesCS1A02G010400.1,W01
TraesCS1A03G0028100.1,TraesCS1A02G010700.1,W01
TraesCS1A03G0028600.1,TraesCS1A02G011100.1,W01
TraesCS1A03G0029500.1,TraesCS1A02G011600.1,W01
TraesCS1A03G0029800.1,TraesCS1A02G011900.1,W01
TraesCS1A03G0029900.1,TraesCS1A02G012000.1,W01
TraesCS1A03G0031300.1,TraesCS1A02G012400.1,W01
TraesCS1A03G0031600.1,TraesCS1A02G012600.1,W01
TraesCS1A03G0031900.1,TraesCS1A02G012700.1,W01
TraesCS1A03G0033900.1,TraesCS1A02G013800.1,W01
TraesCS1A03G0036100.1,TraesCS1A02G014900.1,W01
TraesCS1A03G0036200.1,TraesCS1A02G015000.1,W01
TraesCS1A03G0036900.1,TraesCS1A02G015100.1,W01
TraesCS1A03G0037300.1,TraesCS1A02G015400.1,W01
TraesCS1A03G0037800.1,TraesCS1A02G015800.1,W01
TraesCS1A03G0037900.1,TraesCS1A02G015900.1,W01
TraesCS1A03G0038800.1,TraesCS1A02G016200.1,W01
TraesCS1A03G0039600.1,TraesCS1A02G017000.1,W01
TraesCS1A03G0042000.1,TraesCS1A02G018000.1,W01
TraesCS1A03G0042800.1,TraesCS1A02G018400.1,W01
TraesCS1A03G0042900.1,TraesCS1A02G018500.1,W01
TraesCS1A03G0043500.1,TraesCS1A02G018900.1,W01
TraesCS1A03G0044000.1,TraesCS1A02G019200.1,W01
TraesCS1A03G0046200.1,TraesCS1A02G020400.1,W01
TraesCS1A03G0046500.1,TraesCS1A02G020600.1,W01
TraesCS1A03G0047300.1,TraesCS1A02G021100.1,W01
TraesCS1A03G0047400.1,TraesCS1A02G021200.1,W01
TraesCS1A03G0053100.1,TraesCS1A02G023200.1,W01
TraesCS1A03G0053900.1,TraesCS1A02G023700.1,W01
TraesCS1A03G0056600.1,TraesCS1A02G024700.1,W01
TraesCS1A03G0059400.1,TraesCS1A02G025600.1,W01
TraesCS1A03G0061000.1,TraesCS1A02G026400.1,W01
TraesCS1A03G0062700.1,TraesCS1A02G027200.1,W01
TraesCS1A03G0063500.1,TraesCS1A02G027600.1,W01
TraesCS1A03G0064000.1,TraesCS1A02G027700.1,W01
TraesCS1A03G0065000.1,TraesCS1A02G028400.1,W01
TraesCS1A03G0065300.1,TraesCS1A02G028500.1,W01
TraesCS1A03G0065500.1,TraesCS1A02G028600.1,W01
TraesCS1A03G0065900.1,TraesCS1A02G028900.1,W01
TraesCS1A03G0066200.1,TraesCS1A02G029100.1,W01
TraesCS1A03G0066300.1,TraesCS1A02G029200.1,W01
TraesCS1A03G0068100.1,TraesCS1A02G030000.1,W01
TraesCS1A03G0068200.1,TraesCS1A02G030100.1,W01
TraesCS1A03G0069000.1,TraesCS1A02G030500.1,W01
TraesCS1A03G0070900.1,TraesCS1A02G031300.1,W01
TraesCS1A03G0073800.1,TraesCS1A02G033100.1,W01
TraesCS1A03G0076000.1,TraesCS1A02G033500.1,W01
TraesCS1A03G0076400.1,TraesCS1A02G033600.1,W01
TraesCS1A03G0076700.1,TraesCS1A02G033800.1,W01
TraesCS1A03G0079600.1,TraesCS1A02G034700.1,W01
TraesCS1A03G0081500.1,TraesCS1A02G035200.1,W01
TraesCS1A03G0081600.1,TraesCS1A02G035300.1,W01
TraesCS1A03G0083300.1,TraesCS1A02G035800.1,W01
TraesCS1A03G0085000.1,TraesCS1A02G036300.1,W01
TraesCS1A03G0087200.1,TraesCS1A02G036800.1,W01
TraesCS1A03G0088700.1,TraesCS1A02G037100.1,W01
TraesCS1A03G0090000.1,TraesCS1A02G037900.1,W01
TraesCS1A03G0090900.1,TraesCS1A02G038300.1,W01
TraesCS1A03G0093500.1,TraesCS1A02G039200.1,W01
TraesCS1A03G0096400.1,TraesCS1A02G040400.1,W01
TraesCS1A03G0096600.1,TraesCS1A02G040500.1,W01
TraesCS1A03G0098000.1,TraesCS1A02G041100.1,W01
TraesCS1A03G0098700.1,TraesCS1A02G041400.1,W01
TraesCS1A03G0101600.1,TraesCS1A02G042700.1,W01
TraesCS1A03G0102900.1,TraesCS1A02G042900.1,W01
TraesCS1A03G0103700.1,TraesCS1A02G043400.1,W01
TraesCS1A03G0104300.1,TraesCS1A02G043700.1,W01
TraesCS1A03G0105600.1,TraesCS1A02G044000.1,W01
TraesCS1A03G0105900.1,TraesCS1A02G044200.1,W01
TraesCS1A03G0106500.1,TraesCS1A02G044500.1,W01
TraesCS1A03G0106600.1,TraesCS1A02G044600.1,W01
TraesCS1A03G0107200.1,TraesCS1A02G044800.1,W01
TraesCS1A03G0108500.1,TraesCS1A02G045400.1,W01
TraesCS1A03G0109100.1,TraesCS1A02G045700.1,W01
TraesCS1A03G0109300.1,TraesCS1A02G045800.1,W01
TraesCS1A03G0114500.1,TraesCS1A02G047300.1,W01
TraesCS1A03G0116200.1,TraesCS1A02G048200.1,W01
TraesCS1A03G0116800.1,TraesCS1A02G048400.1,W01
TraesCS1A03G0117000.1,TraesCS1A02G048600.1,W01
TraesCS1A03G0120100.1,TraesCS1A02G049700.2,W01
TraesCS1A03G0122000.1,TraesCS1A02G050300.1,W01
TraesCS1A03G0122200.1,TraesCS1A02G050400.1,W01
TraesCS1A03G0123500.1,TraesCS1A02G051000.1,W01
TraesCS1A03G0123900.1,TraesCS1A02G051100.1,W01
TraesCS1A03G0124000.1,TraesCS1A02G051200.1,W01
TraesCS1A03G0125200.1,TraesCS1A02G051400.1,W01
TraesCS1A03G0126000.1,TraesCS1A02G051500.1,W01
TraesCS1A03G0133400.1,TraesCS1A02G053600.1,W01
TraesCS1A03G0133500.1,TraesCS1A02G053700.1,W01
TraesCS1A03G0134700.1,TraesCS1A02G054300.1,W01
TraesCS1A03G0135200.1,TraesCS1A02G054700.1,W01
TraesCS1A03G0135500.2,TraesCS1A02G054900.2,W01
TraesCS1A03G0135600.1,TraesCS1A02G055000.1,W01
TraesCS1A03G0136900.1,TraesCS1A02G055800.1,W01
TraesCS1A03G0137200.1,TraesCS1A02G056000.1,W01
TraesCS1A03G0137400.1,TraesCS1A02G056105.1,W01
TraesCS1A03G0137600.1,TraesCS1A02G056100.1,W01
TraesCS1A03G0138000.1,TraesCS1A02G056400.1,W01
TraesCS1A03G0138900.1,TraesCS1A02G056900.1,W01
TraesCS1A03G0139400.1,TraesCS1A02G057100.1,W01
TraesCS1A03G0139500.1,TraesCS1A02G057200.1,W01
TraesCS1A03G0139600.1,TraesCS1A02G057300.1,W01
TraesCS1A03G0139800.1,TraesCS1A02G057400.1,W01
TraesCS1A03G0141300.1,TraesCS1A02G058300.1,W01
TraesCS1A03G0146000.1,TraesCS1A02G060100.1,W01
TraesCS1A03G0146700.1,TraesCS1A02G060500.1,W01
TraesCS1A03G0153700.1,TraesCS1A02G063300.1,W01
TraesCS1A03G0154200.1,TraesCS1A02G063500.1,W01
TraesCS1A03G0155800.1,TraesCS1A02G064000.1,W01
TraesCS1A03G0156300.1,TraesCS1A02G064100.1,W01
TraesCS1A03G0159000.1,TraesCS1A02G065000.1,W01
TraesCS1A03G0159700.1,TraesCS1A02G065200.1,W01
TraesCS1A03G0161400.1,TraesCS1A02G065600.1,W01
TraesCS1A03G0162200.1,TraesCS1A02G065800.1,W01
TraesCS1A03G0162800.1,TraesCS1A02G066200.1,W01
TraesCS1A03G0163300.1,TraesCS1A02G066400.1,W01
TraesCS1A03G0164600.1,TraesCS1A02G067000.1,W01
TraesCS1A03G0164800.1,TraesCS1A02G067200.1,W01
TraesCS1A03G0165100.1,TraesCS1A02G067400.1,W01
TraesCS1A03G0166400.1,TraesCS1A02G068000.1,W01
TraesCS1A03G0167300.2,TraesCS1A02G068300.2,W01
TraesCS1A03G0169900.1,TraesCS1A02G069200.1,W01
TraesCS1A03G0170600.1,TraesCS1A02G069500.1,W01
TraesCS1A03G0171300.1,TraesCS1A02G069900.1,W01
TraesCS1A03G0171600.1,TraesCS1A02G070100.1,W01
TraesCS1A03G0174000.1,TraesCS1A02G071100.1,W01
TraesCS1A03G0174700.1,TraesCS1A02G071300.1,W01
TraesCS1A03G0175200.1,TraesCS1A02G071657.1,W01
TraesCS1A03G0177600.1,TraesCS1A02G072700.1,W01
TraesCS1A03G0177700.1,TraesCS1A02G072800.1,W01
TraesCS1A03G0179400.3,TraesCS1A02G073500.3,W01
TraesCS1A03G0179800.1,TraesCS1A02G073900.1,W01
