F08	F17	F05	F09	F18	F06	F02	F01	F04	F03	F16	F12	F13	F10	F07	F15	F11	F14	
PH1_7d_SP_A	0.263580156936736	0.325672851950714	-0.113639062895534	-0.0475841635107173	-0.0451791048081762	0.231299254300042	-0.0427033879778175	-0.0277977684205251	-0.0785805354657052	0.40473931186304	-0.29255907142643	-0.469494549331835	-0.097677251541918	0.327835245528047	-0.0417805653094876	0.283701941315817	-0.0350816960362384	0.0695089042842968
PH1_7d_SP_B	0.333471849830244	0.369942259240872	-0.0306052277506503	0.0270547591872097	0.0413344710765415	0.31097059038682	0.0371652237756016	0.0600002938491648	0.0866032804107736	0.453065314103491	-0.153974188995812	-0.383756349032047	-0.0627097924276649	0.373319341266472	0.0192131800691017	0.332730277409486	0.0129693230085255	0.118615669305769
PH1_7d_SP_C	0.242280797157245	0.250559440086944	-0.0146131731708824	0.00539385923960367	0.000489175863069152	0.219647244332534	0.0351900382521026	0.021353119112674	0.0323694923636907	0.281300641981997	-0.04100334409129	-0.307349170428209	-0.0635738053138035	0.292209184276376	0.0196959706364907	0.227017614072933	-0.0165325583927328	0.0601082936999529
PH1_3d_SP_A	0.0667916346136292	0.0880987090286721	0.0114533997899958	0.0274409166644542	0.0132370989984295	0.108627156473994	0.0486810710526061	0.0648134122969673	0.137723464747113	0.12943261534851	-0.156945871531993	-0.0475232687726766	-0.0185145476058793	0.128916098019991	0.0287716781765614	0.0648765610481871	0.0362286899949734	0.0782171067696452
PH1_3d_SP_B	0.0349456006830973	0.0515665456620734	0.035250370073657	0.0463088091225242	0.0440218666787843	0.08587389251392	0.0733528074751979	0.0884792408854633	0.171004021614177	0.0811903817458866	-0.132319341155741	-0.0360656406486473	-0.00926915983031628	0.0120545951384962	0.033255603916153	0.0381821782420095	0.037636945329644	0.0441041372133012
PH1_3d_SP_C	0.0345130691794808	0.0573046462744451	0.0192101709853609	0.0338222440710552	0.02244018872622	0.081986481666901	0.0537777864179141	0.0728491824585582	0.14732556721839	0.0950264118415093	-0.151445523253547	-0.00689961142739717	-0.031661386447217	0.0474716945299011	0.0192537743447415	0.0348368566514533	0.0316360648132613	0.0471187501536209
PH1_7d_R12A	0.0090232330951272	0.0355285299324955	-0.020716836267622	-0.0105917553492467	0.0235521614020691	0.0651976785189061	0.0109877272978714	0.0395767216306967	0.194776698665861	0.0974659293704537	-0.302194187692806	-0.0160618160663088	-0.0436497155520747	0.000318632158836958	-0.00154335820830823	0.0509634365742858	0.00979889316154252	0.0427786104860915
PH1_7d_R12C	0.0116457002379273	0.0389012409526103	-0.0198948776067217	-0.0122942051396047	0.00899814528177974	0.0598863602927571	0.0184041394445416	0.0303356345462648	0.143729174648297	0.0924451971970419	-0.195980007374408	-0.0286664516612845	-0.0361297428591519	0.0608248079455571	0.00249023593935638	0.0429421954955897	0.00848447228832624	0.0506641624943174
PH1_7d_R34A	-0.102669908230636	-0.108143535378327	0.0541434096048206	0.0467514115102611	0.0252033423948972	-0.0374006331689496	0.0647082471907275	0.101399607519234	0.167968479957954	-0.0419479311411063	-0.192452935851433	0.187667285815506	-0.0237153113211322	-0.325429973107108	0.0246288795131349	-0.0855779081699535	0.0473314257269285	-0.0398166241757289
PH1_7d_R34B	-0.0745899791634531	-0.0904392156332502	0.108469110886517	0.0986940051673734	0.0763855526119555	-0.0108507868486544	0.119325523463717	0.156421632437709	0.213612364813956	-0.0139371744798652	-0.0563068482060549	0.204883932268022	0.0319017094742769	-0.301494416454334	0.0668501070540077	-0.0854138067697241	0.0820815051294283	-0.0151645893082176
