W25	W06	W03	W10	W05	W07	W20	W15	W19	W14	W18	W11	W21	W22	W04	W01	W17	W13	W16	W24	W23	W02	W09	W12	W08	
PH1_7d_SP_A	0.387710412424001	0.537460921973593	0.375268888006991	0.598136403344256	-0.0349546311602085	0.41939514573621	-0.146176213664941	0.403050515870366	0.583879540744757	-0.337578975670868	0.0128124562909202	-0.50990924337353	-0.0899864062334734	-0.406646384606606	-0.906875475231491	-0.357520484064589	-0.401354848825754	-0.762311018151674	-0.507976323195275	0.0312951698650925	-0.514373249483892	0.0142915010532974	-0.130159280178092	-0.404946106695836	-0.665535707242052	
PH1_7d_SP_B	0.48076041346228	0.445010093088013	0.417823700776578	0.187992338917011	0.0808119765483405	0.281927044025123	-0.063794169872075	-0.337342969666925	-0.114154581951391	-0.520115215540621	-0.0706199370346149	-0.247012276930087	-0.541197344080944	-0.290608579665627	-0.168410509781746	-0.319071773092183	-0.24568811862799	0.0319075273081415	0.160116027542868	0.10149087778246	0.449771389340182	0.1243317404585	0.160605602697251	-0.237940044514711	0.0777652883350022	
PH1_7d_SP_C	0.0441419826085014	0.444406942758639	0.370042927058615	0.072167822159952	0.134418358476247	0.293453666539783	-0.0813536971875872	-0.334429228615122	-0.114845151770774	-0.513998989290959	-0.0523297423511654	-0.204087244199314	-0.438318790581834	-0.200432548337892	-0.136142379863788	-0.256197356705294	-0.164789615422803	0.00684215372066135	0.160131556139263	0.09857671164739	0.484359811986673	0.0788801028643631	0.0663962834176755	-0.231163283580263	0.0583609539880042	
PH1_3d_SP_A	0.0786144412585489	-0.0809402300306003	0.204582123495996	0.0576687376130958	-0.169437748291219	-0.0122465287231716	0.481555326417894	0.105832850523278	0.303391260480862	0.159684134937257	-0.0784155589344161	-0.0589082377511856	-0.0873102734424662	-0.30033942899408	-0.00759918648743683	-0.16361080326179	0.191826211926165	0.0706950793603137	0.0983793855167796	0.187926717310645	0.0510118881231375	0.180055380656261	0.32972161250673	0.141793733701715	0.183921226458526	
PH1_3d_SP_B	-0.138765290137312	-0.101631870875527	0.0822909868939345	0.00731629531579215	-0.0781710539945165	-0.0811893343241377	0.578879001343139	0.326724751293339	0.466299391644988	0.257811173815267	-0.208240430144652	-0.140275048141529	-0.0861567352704686	-0.196551223649553	0.0615910843112468	-0.0451775062586529	0.354383692289096	0.13606983171091	0.107110612007592	0.174118850537812	0.0424082003557224	0.0774192823160809	0.253403799154732	0.155370158180498	0.150726115618818	
PH1_3d_SP_C	0.612165809434471	-0.123646550404876	0.171673320748397	0.00941256486843954	-0.141177042121704	-0.0809421660619417	0.498570520574377	0.122531401785374	0.307136544670243	0.226584495154197	-0.16268389713005	-0.122708286472664	-0.0419895965006556	-0.354533505608275	0.0395261165988996	-0.130690190981372	0.250957838473114	0.127304559403593	0.145285820508159	0.220848460085232	0.107388066531117	0.173301253731008	0.366644223878587	0.164792471798986	0.220047019759039	
PH1_7d_R12A	-0.0482069820109085	-0.0350501119865406	0.0508878005035586	0.38157681288784	-0.560886728253607	-0.38496901396836	-0.139408408352382	-0.360742330811264	-0.205830118058143	0.287658402976111	0.491012493852902	0.382917210160248	0.403959462988164	0.218908816018351	0.106494904116201	-0.221010201256965	-0.372786122542999	-0.0405568899465911	-0.50988296797768	-0.722007980612127	-0.17078574993612	0.208830914883317	-0.188041508854824	-0.151052281889929	0.0476928236742097	
PH1_7d_R12C	-0.21860474223508	0.0592432751266452	0.0714024564418666	0.328707185042962	-0.329618683609668	-0.333913585572225	-0.145137841957615	-0.332740689436746	-0.193652909172373	0.0685353655453057	0.680731617672084	0.452024046220894	0.493270868067032	0.359723366974774	0.119857013193594	-0.196194703121705	-0.417856953980733	-0.513760883976716	-0.365295948720039	-0.493150176932117	0.0745632806509982	0.184178898416514	-0.383351163421832	-0.250005370401578	0.0559255158643999	
PH1_7d_R34A	-0.134105612934395	-0.280052924563755	-0.0656179937627207	-0.043011467380168	-0.186181494989016	-0.197313180042585	-0.0704418859985751	-0.0212735041532825	-0.12242127776049	0.260477701011201	-0.0617141694337093	0.183266474610614	0.0680096676296893	-0.0155250270280083	0.0411295841140762	0.00257028568430762	0.0431550140740327	0.0503296849741233	0.119534150133948	0.102671999540113	-0.0977587225876017	0.189395716252637	0.224624913651096	0.318663927576426	0.197309303866801	
PH1_7d_R34B	-0.142118481891523	-0.247110744858812	-0.0779791183172502	-0.231014191921533	-0.0356456401113403	-0.218818447719053	-0.136202681119385	-0.128456129373707	-0.194589037716604	0.113214317489422	-0.118778323573743	0.158051632568782	-0.101315444150352	-0.0193694459754024	0.0815974576260594	0.0483280292170224	-0.0392528463656405	0.134370004933542	0.260509799167265	0.0544302605896412	0.146197275782421	0.163946126950494	0.13683335810743	0.213127080058233	0.217528470138523	
