"","logFC","logCPM","PValue","FDR"
"FGRAMPH1_01T00001",2.13552834681064,1.63431930063186,0.000248064794349888,0.000550477612573252
"FGRAMPH1_01T00009",-4.5257934357657,5.72192113223946,7.08949532617634e-23,1.09892429033753e-21
"FGRAMPH1_01T00017",-2.50072688029451,2.1701602052368,0.000169897944337229,0.000386024362996836
"FGRAMPH1_01T00019",4.74190275570026,3.32576569120679,1.39766808936318e-16,1.21460143015008e-15
"FGRAMPH1_01T00027",1.55550166511451,2.96496007882415,0.00545438381741771,0.0097587581876952
"FGRAMPH1_01T00029",12.9713686058845,4.83102171591309,5.81325210734479e-19,6.31610143293339e-18
"FGRAMPH1_01T00041",7.98061384224512,2.40968821789697,1.32820819059829e-16,1.15615992497753e-15
"FGRAMPH1_01T00047",15.3701755892749,8.82355689857101,7.55404406697447e-36,3.9862966619743e-34
"FGRAMPH1_01T00049",11.9461181134975,4.68922565085795,1.06902352575139e-22,1.63765639091315e-21
"FGRAMPH1_01T00051",7.69932290752735,4.39522170907801,3.13898839401367e-18,3.19797814669571e-17
"FGRAMPH1_01T00053",6.80493365491737,8.26675732966947,1.17338405314669e-20,1.48633381937939e-19
"FGRAMPH1_01T00059",14.2737588068048,6.18060715212998,8.04552553214653e-38,5.10183840259692e-36
"FGRAMPH1_01T00067",7.17730307775401,1.30864997904,1.04005078796996e-07,3.68758095375454e-07
"FGRAMPH1_01T00071",5.63073497831129,4.25237970902551,2.21137552098712e-14,1.54974025961743e-13
"FGRAMPH1_01T00075",4.84040710740407,2.772203467426,0.0255479767851083,0.0400822433802052
"FGRAMPH1_01T00077",7.44283027912358,2.68601334121589,6.22887716355338e-07,1.99732582783509e-06
"FGRAMPH1_01T00081",7.87375182029249,4.39074223159037,2.40867284744995e-07,8.12441779589582e-07
"FGRAMPH1_01T00087",2.64965740258749,0.74209267433054,0.00249586298172757,0.00474803897778465
"FGRAMPH1_01T00091",2.07860445717275,1.76667075336571,0.0102449556870496,0.0173311190547454
"FGRAMPH1_01T00093",10.4790449092827,7.14934087346867,1.78527586103918e-32,6.96990348285558e-31
"FGRAMPH1_01T00095",4.85226954194485,2.06842807800384,0.0144936193564574,0.023858832493174
"FGRAMPH1_01T00097",3.18561839521838,5.21153199359936,2.14084378127226e-15,1.65433149803927e-14
"FGRAMPH1_01T00101",1.64609019557762,0.800836580976325,0.0158168901893921,0.025837958165747
"FGRAMPH1_01T00105",6.69893762718032,8.57033372255815,3.14350639463736e-19,3.50834137866829e-18
"FGRAMPH1_01T00123",2.12863497439755,1.45977968285213,8.31537768539512e-05,0.000197421821471044
"FGRAMPH1_01T00129",-4.29664211426962,2.03809207646502,0.000466821081413233,0.000994573197887734
"FGRAMPH1_01T00131",-6.12929991858114,0.296981681112778,0.000448990041714309,0.000959710481400779
