,logFC,logCPM,PValue,FDR
FGRAMPH1_01T00001,3.321614184,1.634319301,1.65E-10,1.19E-09
FGRAMPH1_01T00009,-4.805118803,5.721921132,6.14E-25,1.30E-23
FGRAMPH1_01T00019,3.44852813,3.325765691,1.50E-09,9.88E-09
FGRAMPH1_01T00027,1.7122908,2.964960079,0.002252875,0.005893038
FGRAMPH1_01T00047,4.596144297,8.823556899,7.23E-05,0.000258046
FGRAMPH1_01T00049,4.771315075,4.689225651,0.019748229,0.039904542
FGRAMPH1_01T00051,3.817867028,4.395221709,2.29E-05,8.94E-05
FGRAMPH1_01T00053,12.23916278,8.26675733,4.85E-59,1.06E-56
FGRAMPH1_01T00055,6.683809732,0.644821032,3.39E-06,1.50E-05
FGRAMPH1_01T00059,5.325390362,6.180607152,0.001596222,0.00433012
FGRAMPH1_01T00065,1.686343387,3.012446283,0.001634375,0.004417584
FGRAMPH1_01T00067,7.762629359,1.308649979,1.35E-09,8.95E-09
FGRAMPH1_01T00071,8.391131535,4.252379709,5.47E-34,2.22E-32
FGRAMPH1_01T00075,9.04269884,2.772203467,2.65E-08,1.52E-07
FGRAMPH1_01T00077,8.909222552,2.686013341,3.31E-10,2.31E-09
FGRAMPH1_01T00081,10.78169013,4.390742232,2.22E-13,2.07E-12
FGRAMPH1_01T00085,1.128250092,5.878595136,0.000530677,0.00160569
FGRAMPH1_01T00087,3.070689808,0.742092674,0.000190633,0.0006316
FGRAMPH1_01T00091,3.290691785,1.766670753,2.57E-05,9.94E-05
FGRAMPH1_01T00093,7.668337398,7.149340873,2.82E-21,4.68E-20
FGRAMPH1_01T00095,9.046469675,2.068428078,1.13E-11,9.16E-11
FGRAMPH1_01T00097,3.146456976,5.211531994,4.82E-15,5.21E-14
FGRAMPH1_01T00099,-2.21492687,2.223342281,0.001967817,0.005228358
FGRAMPH1_01T00101,-2.59067961,0.800836581,0.00910203,0.020327543
FGRAMPH1_01T00105,13.40528536,8.570333723,1.59E-63,4.51E-61
FGRAMPH1_01T00117,3.661790554,3.119844425,4.81E-09,2.99E-08
FGRAMPH1_01T00119,1.868459751,2.5991236,0.015660942,0.032628522
FGRAMPH1_01T00127,3.553695003,2.406071394,0.000106516,0.000368788
FGRAMPH1_01T00129,2.688069357,2.038092076,0.000467829,0.001430366
FGRAMPH1_01T00135,2.401509194,3.051574028,3.24E-06,1.44E-05
FGRAMPH1_01T00143,3.815300232,1.693203429,0.000201288,0.000664168
FGRAMPH1_01T00145,4.719562772,3.389681922,1.36E-07,7.22E-07
FGRAMPH1_01T00147,7.026672612,1.936581396,9.11E-07,4.35E-06
FGRAMPH1_01T00149,1.415247454,4.649245291,6.18E-06,2.62E-05
FGRAMPH1_01T00151,4.455520356,3.098356448,3.98E-09,2.49E-08
FGRAMPH1_01T00153,8.17883583,0.87009359,1.80E-06,8.31E-06
FGRAMPH1_01T00155,10.46945244,3.049399382,1.76E-08,1.03E-07
FGRAMPH1_01T00157,7.413688224,2.877752212,1.96E-09,1.27E-08
FGRAMPH1_01T00167,8.04723601,5.103159683,2.28E-29,6.40E-28
FGRAMPH1_01T00169,6.460890601,1.835083823,2.46E-14,2.51E-13
FGRAMPH1_01T00177,-2.933502515,0.925766723,3.38E-05,0.000127828
FGRAMPH1_01T00187,5.105857916,0.728915521,0.010219692,0.022525519
FGRAMPH1_01T00193,1.104090693,4.613205109,0.00716933,0.016453763
FGRAMPH1_01T00197,4.4965513,9.711390675,4.95E-06,2.14E-05
FGRAMPH1_01T00199,4.291690035,9.583851859,6.67E-05,0.000238934
FGRAMPH1_01T00201,3.406999893,11.26100569,1.17E-05,4.78E-05
FGRAMPH1_01T00205,2.495447965,2.328242455,2.35E-05,9.16E-05
FGRAMPH1_01T00209,6.682911436,5.865436853,1.09E-06,5.15E-06
FGRAMPH1_01T00215,3.543140129,5.260038958,7.00E-09,4.28E-08
FGRAMPH1_01T00217,9.220674989,5.613395484,1.77E-31,5.88E-30
FGRAMPH1_01T00219,3.312899026,3.733809466,4.20E-11,3.21E-10
FGRAMPH1_01T00221,8.831570599,2.427690414,1.24E-10,9.01E-10
FGRAMPH1_01T00223,9.462663525,10.83585415,1.49E-38,8.09E-37
FGRAMPH1_01T00235,5.631412765,1.294005361,6.14E-09,3.78E-08
FGRAMPH1_01T00243,4.763551647,3.157798357,3.67E-07,1.85E-06
FGRAMPH1_01T00245,-1.532832283,3.309575544,0.000581173,0.001742852
FGRAMPH1_01T00273,2.274471704,1.602816813,0.003088382,0.00781847
FGRAMPH1_01T00281,10.22024718,8.364127598,1.30E-37,6.72E-36
FGRAMPH1_01T00283,4.408459323,2.751776683,8.51E-10,5.73E-09
FGRAMPH1_01T00291,2.742748092,3.772461725,2.16E-07,1.12E-06
FGRAMPH1_01T00309,6.514426069,1.847287991,2.03E-05,7.99E-05
FGRAMPH1_01T00311,5.176685743,0.863190977,0.002096482,0.005529491
