"","logFC","logCPM","PValue","FDR"
"FGRAMPH1_01T00009",-6.18376613481376,5.72192113223946,2.1434787737683e-26,7.98121651599206e-25
"FGRAMPH1_01T00047",7.88859154841759,8.82355689857101,7.08683892689862e-08,4.97982509685294e-07
"FGRAMPH1_01T00053",13.5860930927629,8.26675732966947,6.59313651999074e-58,2.22528991640849e-55
"FGRAMPH1_01T00055",9.06885246455685,0.644821031628152,7.880919445564e-09,6.26581004247235e-08
"FGRAMPH1_01T00059",7.10725493806808,6.18060715212998,0.00247857985520573,0.00781832409557359
"FGRAMPH1_01T00071",9.2708072793575,4.25237970902551,1.55149594533616e-27,6.49332083042089e-26
"FGRAMPH1_01T00085",1.498840565907,5.87859513558897,1.91640053768164e-05,9.35664900875549e-05
"FGRAMPH1_01T00091",3.25195900375547,1.76667075336571,0.00200020864440224,0.00646730007613739
"FGRAMPH1_01T00093",6.54337792984991,7.14934087346867,1.40892410781939e-14,2.01663104515927e-13
"FGRAMPH1_01T00095",9.25052821658318,2.06842807800384,2.00132749360821e-08,1.51081454297422e-07
"FGRAMPH1_01T00097",3.07241103855258,5.21153199359936,5.08443832713024e-12,5.74929125881362e-11
"FGRAMPH1_01T00099",-3.33064780128485,2.22334228078742,0.00389949836244468,0.0116806330851013
"FGRAMPH1_01T00105",12.7879411523217,8.57033372255815,4.72214657848292e-49,8.98323993648487e-47
"FGRAMPH1_01T00117",2.5608137257061,3.11984442520257,0.00140251981436295,0.0047200272813379
"FGRAMPH1_01T00127",3.95843963062778,2.40607139390699,7.66369270001079e-05,0.000337621965137739
"FGRAMPH1_01T00129",3.54923674473666,2.03809207646502,2.3020874677028e-05,0.000110591098138542
"FGRAMPH1_01T00135",2.90597171410212,3.05157402837741,9.00000275184059e-07,5.32317856373703e-06
"FGRAMPH1_01T00141",3.3127739123112,0.324407691218763,0.000412236581567816,0.00157474675171379
"FGRAMPH1_01T00143",3.66997803376214,1.69320342893688,0.00141811404732764,0.00476484498304082
"FGRAMPH1_01T00145",4.71925851546372,3.38968192172158,6.29205358215901e-07,3.81202991488881e-06
"FGRAMPH1_01T00147",6.97101031774357,1.93658139636794,2.79559628733942e-05,0.000132474293271886
"FGRAMPH1_01T00149",1.12085324323949,4.64924529082115,0.00281256654000629,0.00875569286167384
"FGRAMPH1_01T00151",5.07315237561168,3.09835644825834,7.44088740914437e-10,6.67701586293975e-09
"FGRAMPH1_01T00153",7.70278457701115,0.870093590363378,0.000749132519694512,0.00270188678164898
"FGRAMPH1_01T00155",9.56329265691939,3.04939938247402,6.04919374032845e-06,3.21609319639515e-05
"FGRAMPH1_01T00157",7.57113848175627,2.87775221189837,2.76458549167485e-08,2.05585344700739e-07
