"ID","Previous_accession","moduleLabels","MM.06","p.MM.06","Interpro.ID","Interpro.Short.Description","GO","GO_term","Ontology.Term","Preferred.Name","SP_d3","SP_d7","R12_d7","R34_d7","R56_d7","R78_d7"
"TraesCS1A03G0015700.1","TraesCS1A02G005500","W06","0.65488939850335","0.00432977345473717","","","NA","NA","TO_0006019, TO_0006018","floral organ identity, organ identity","2.74345187","4.049440891","1.576320889","1.216078087","2.529884318","5.380743258"
"TraesCS1A03G0033800.1","TraesCS1A02G013700","W06","0.638296299329538","0.0058261746570763","IPR003613, IPR011990, IPR013083, IPR019734, IPR045200, IPR045202","Ubox_domain, TPR-like_helical_dom_sf, Znf_RING/FYVE/PHD, TPR_repeat, CHIP, CHIP_RING-Ubox","GO:0043161,GO:0061630,GO:0006515,GO:0000209,GO:0051087,GO:0045862,GO:0009536,GO:0071218,GO:0009579","proteasome-mediated ubiquitin-dependent protein catabolic process,ubiquitin protein ligase activity,protein quality control for misfolded or incompletely synthesized proteins,protein polyubiquitination,chaperone binding,positive regulation of proteolysis,plastid,cellular response to misfolded protein,thylakoid","TO_0000253, TO_0000598, TO_0001017, TO_0000919, TO_0002657, TO_0000696, TO_0000043, TO_0000391, TO_0006017, TO_0000199, TO_0000027, TO_0000259, TO_0000137, TO_0006019, TO_0020106, TO_0000495, TO_0000173, TO_0000227, TO_0000397, TO_0000562, TO_0006018, TO_0000207, TO_0006066, TO_0006001, TO_0000196, TO_0000276, TO_0000428, TO_0002639, TO_0006002, TO_0006036, TO_0002661, TO_0020116, TO_0000344, TO_0002759, TO_0020055, TO_0000303, TO_0020097, TO_0000112, TO_0000183, TO_0001015","seed dormancy, protein content, water use efficiency, grain weight, oxidative stress, starch content, root morphology trait, seed size, meristem identity, genic male sterility, culm number, heat tolerance, days to heading, floral organ identity, Indole-3-acetic acid content, chlorophyll content, ethylene sensitivity, root length, grain size, specific leaf area, organ identity, plant height, leaf trichome density, salt tolerance, amylose content, drought tolerance, callus induction, shoot branching, proline content, stem elongation, seed maturation, photochemical quenching, days to flowering trait, grain number, wheat stripe rust disease resistance, cold tolerance, stomatal opening, disease resistance, other miscellaneous trait, photosynthetic rate","2.649638912","3.748932848","2.854786261","1.992467579","2.540629943","3.850738275"
"TraesCS1A03G0073700.1","TraesCS1A02G033000","W06","0.54616444534721","0.023316430256306","IPR001680, IPR015943, IPR020472, IPR036322","WD40_repeat, WD40/YVTN_repeat-like_dom_sf, G-protein_beta_WD-40_rep, WD40_repeat_dom_sf","GO:0003723,GO:0006405,GO:0043130,GO:0000972,GO:0005643","RNA binding,RNA export from nucleus,ubiquitin binding,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,nuclear pore","TO_0000227, TO_0000071, TO_0000183, TO_0000259, TO_0000953, TO_0000495, TO_0002657, TO_0020057, 72","root length, anthocyanin content, other miscellaneous trait, heat tolerance, stem number, chlorophyll content, oxidative stress, wheat leaf rust disease resistance, Grain hardness","0.592210042","0.811254718","0.458904573","0.367680576","0.683569181","1.027379025"
"TraesCS1A03G0111700.1","TraesCS1A02G046600","W06","0.712381834992302","0.00133302455255362","IPR018611","Ufl1","GO:0061666,GO:0071569","UFM1 ligase activity,protein ufmylation","NA","NA","3.989654684","6.976596029","5.995837171","3.061286334","6.141420083","10.10122283"
"TraesCS1A03G0114600.1","TraesCS1A02G047400","W06","0.836643861785936","2.83416051930363e-05","","","GO:0016021","integral component of membrane","TO_0002661, TO_0000253, TO_0000190, TO_0000276, TO_0000430, TO_0006002","seed maturation, seed dormancy, seed coat color, drought tolerance, germination rate, proline content","1.258592607","63.57759653","0.420184222","0.18715376","0.297137974","0.605169384"
"TraesCS1A03G0127600.1","TraesCS1A02G051800","W06","0.81906771042395","5.77774136071728e-05","IPR005226","UPF0014_fam","GO:0005887,GO:0012506,GO:0005460,GO:0010044,GO:0015786","integral component of plasma membrane,vesicle membrane,UDP-glucose transmembrane transporter activity,response to aluminum ion,UDP-glucose transmembrane transport","TO_0000437, TO_0000004","male sterility, reversible male sterility","1.370445451","5.756958165","1.178447355","0.558247534","0.950577647","2.760670337"
"TraesCS1A03G0135800.1","TraesCS1A02G055200","W06","0.728104727459574","0.000919974239578706","IPR009606","DEAL/Modifying_wall_lignin1/2","GO:0016021","integral component of membrane","NA","NA","6.728867719","7.490315793","4.750697837","3.211260525","6.437705202","9.961020709"
"TraesCS1A03G0150700.1","TraesCS1A02G062100","W06","0.812361590622219","7.43497334258032e-05","IPR018499, IPR044991","Tetraspanin/Peripherin, TET_plant","GO:0009506,GO:0016021,GO:0009734","plasmodesma,integral component of membrane,auxin-activated signaling pathway","TO_0000112, TO_0000183","disease resistance, other miscellaneous trait","8.492698178","16.1578927","4.784835945","2.673289201","8.78360592","19.07515637"
"TraesCS1A03G0170500.1","TraesCS1A02G069400","W06","0.481128000303918","0.0505564819854251","IPR005225, IPR006689, IPR024156, IPR027417","Small_GTP-bd_dom, Small_GTPase_ARF/SAR, Small_GTPase_ARF, P-loop_NTPase","GO:0005794,GO:0003924,GO:0005525,GO:0006886,GO:0033365,GO:0043001","Golgi apparatus,GTPase activity,GTP binding,intracellular protein transport,protein localization to organelle,Golgi to plasma membrane protein transport","TO_0000043, TO_0000207, TO_0000115, TO_0002759","root morphology trait, plant height, root mass density, grain number","3.273450154","5.558968681","2.66040597","2.374864125","3.97208119","5.714459546"
"TraesCS1A03G0213300.1","TraesCS1A02G087900","W06","0.966274740002692","3.03220867939226e-10","IPR000330, IPR001650, IPR014001, IPR027417, IPR029295, IPR038718","SNF2_N, Helicase_C, Helicase_ATP-bd, P-loop_NTPase, SnAC, SNF2-like_sf","GO:0005634,GO:0005524,GO:0042393,GO:0140658,GO:0006338","nucleus,ATP binding,histone binding,ATP-dependent chromatin remodeler activity,chromatin remodeling","TO_0000227, TO_0000919, TO_0000391, TO_0002637, TO_0000194, TO_0006013, TO_0000276, TO_0020055, TO_0006064, TO_0000370, TO_0000492, TO_0000183, TO_0000115","root length, grain weight, seed size, leaf size, globular embryo, carpel number, drought tolerance, wheat stripe rust disease resistance, rolled leaf, leaf width, leaf shape, other miscellaneous trait, root mass density","1.03004121","4.060636054","1.100519485","0.732553619","1.324433398","1.962230191"
