"ID","moduleLabels","MM.04","p.MM.04","Interpro.Short.Description","Interpro.ID","GO","GO_term","R1.2","R3.4","R5.6","R7.8","Sp_3d","Sp_7d"
"FGRAMPH1_01T00017","F04",0.860669822046233,9.24944700794785e-06,"Dsn1/Mis13","IPR013218","GO:0000444,  GO:0007059,  GO:0051301","MIS12/MIND type complex,  chromosome segregation,  cell division",1.548508084,1.851976264,1.74898905,0,1.905866981,0.334116059
"FGRAMPH1_01T00025","F04",0.75329891775372,0.00048090453390017,"Mitochondrial_sb/sol_carrier, Mt_carrier_dom_sf","IPR018108, IPR023395","GO:0005743,  GO:0016021,  GO:0055085","mitochondrial inner membrane,  integral component of membrane,  transmembrane transport",1.926055757,1.130744672,0,0,1.83957847,0.426343844
"FGRAMPH1_01T00031","F04",0.718157703695765,0.00116648467344781,"","","GO:0016021","integral component of membrane",2.471700932,5.918211307,0,0,0.970405347,0.974091929
"FGRAMPH1_01T00067","F04",0.72551493265485,0.00097956353668689,"Cyt_P450, Cyt_P450_E_grp-I, Cyt_P450_CS, Cyt_P450_sf","IPR001128, IPR002401, IPR017972, IPR036396","GO:0016021, GO:0004497, GO:0005506, GO:0016705, GO:0020037","integral component of membrane, monooxygenase activity, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding",1.183146049,2.516818693,0,0,1.60219976,0.753433337
"FGRAMPH1_01T00075","F04",0.545268583112667,0.023589934566185,"Nucleotide-diphossugar_trans","IPR029044","GO:0016021","integral component of membrane",18.73101088,6.825525123,0,0,0.525860923,0.213844929
"FGRAMPH1_01T00081","F04",0.633227283618717,0.00635819485741129,"","","GO:0005634, GO:0000981, GO:0008270, GO:0006357","nucleus, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding, regulation of transcription by RNA polymerase II",64.11344505,23.70850592,0,0,2.134269762,1.896981161
"FGRAMPH1_01T00087","F04",0.674904792740676,0.00295543170462935,"Small_GTPase, Small_GTPase_Ras-type, P-loop_NTPase","IPR001806, IPR020849, IPR027417","GO:0003924, GO:0005525","GTPase activity, GTP binding",0.98014846,1.322038975,0,0,0.289960602,0.497441925
"FGRAMPH1_01T00091","F04",0.860916504711595,9.13417484825813e-06,"","","","",2.056636765,5.113079465,4.270357588,0,2.66440813,1.212199481
"FGRAMPH1_01T00119","F04",0.867692801686001,6.41072257611345e-06,"","","GO:0016021, GO:0003824","integral component of membrane, catalytic activity",6.58894048,9.337025642,4.053426271,0,7.96573268,1.775877099
"FGRAMPH1_01T00137","F04",0.82225669061415,5.10643405286151e-05,"SET_dom, TPR-like_helical_dom_sf, TPR_repeat","IPR001214, IPR011990, IPR019734","GO:0008168, GO:0032259","methyltransferase activity, methylation",0.60684636,0.996588779,0.224627526,0,0.668374527,0.073569737
"FGRAMPH1_01T00161","F04",0.819422541970989,5.69955068318245e-05,"AB_hydrolase","IPR029058","GO:0016787","hydrolase activity",6.687536542,6.182264308,4.886043476,0,1.548659856,0.744791936
"FGRAMPH1_01T00163","F04",0.958081171529789,1.51286180470747e-09,"Nitrilase/CN_hydratase_CS, C-N_Hydrolase, C-N_Hydrolase_sf, Nitrilases_CHs","IPR000132, IPR003010, IPR036526, IPR044149","GO:0003824, GO:0006807","catalytic activity, nitrogen compound metabolic process",51.30018543,68.77703769,28.46742046,0,23.31357549,10.46748529
"FGRAMPH1_01T00169","F04",0.748924125682404,0.000541079773889031,"SDR_fam, NAD(P)-bd_dom_sf","IPR002347, IPR036291","GO:0016491","oxidoreductase activity",2.395778185,8.743260611,8.57369266,0,1.975159534,0.744841575
